Catalog#,Artist,Title,Query_Spotify,Spotify_Album_Art_URL,Spotify_Artist_URL,Spotify_Album_URL,Trade_or_Sell,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Low,Median,High,Collection Notes,Artist Collection,Last modified time
MRG670,Fruit Bats,Gold Past Life,,https://i.scdn.co/image/ab67616d0000b273a4b2fcab8ba091bf1003d6b1,https://open.spotify.com/artist/6Qm9stX6XO1a4c7BXQDDgc,https://open.spotify.com/album/4fu8RdgNHUGQ61GP0sILpp,,Merge Records,"LP, Album",,,13792246,Uncategorized,2019-07-17 16:46,,,,,,2/4/2024 6:29pm
KC 34092,Willie Nelson,The Sound In Your Mind,,https://i.scdn.co/image/ab67616d0000b273a21d93bf125b3adbb795a60d,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,https://open.spotify.com/album/3d5AwnJrZpuP4iX59NUBwC,,"Columbia, Lone Star","LP, Album, Ter",,,1195607,Uncategorized,2020-03-17 05:07,,,,,,2/4/2024 6:52pm
19075830351,Leon Bridges,Good Thing,,https://i.scdn.co/image/ab67616d0000b273a47ee7a49c53ccdcb38dc874,https://open.spotify.com/artist/3qnGvpP8Yth1AqSBMqON5x,https://open.spotify.com/album/7J9fifadXb0PPSBWXctbi8,,Columbia,"LP, Album, 180",,,11949055,Uncategorized,2018-10-23 03:31,,,,,,2/4/2024 6:52pm
OSF-V1,Doc & Merle Watson,"Never The Same Way Once • Live At The Boarding House • Thursday, May 2, 1974",,https://i.scdn.co/image/ab67616d0000b273a3935cbe6933174354055774,"https://open.spotify.com/artist/01N1aZStXA4yGvkz4vRXtJ,https://open.spotify.com/artist/6lynZefatZW6zvh500EIKN",https://open.spotify.com/album/5cJh03Sy8v8o3i2zQhusLq,,Owsley Stanley Foundation,"2xLP, Album",,,11451112,Bluegrass,2019-11-26 03:21,,,,,,2/4/2024 6:43pm
R1 61913,Nada Surf,High/Low,,https://i.scdn.co/image/ab67616d0000b273a46129f913a7293b208dcc7b,https://open.spotify.com/artist/11zHPjHnZN0ACA50rSnTcy,https://open.spotify.com/album/4o7LG3LUbq67bPNMitn00L,checked,Elektra,"LP, Album, Club, RE, RM, Ora",,,7861228,Uncategorized,2018-10-23 04:28,,,,,,2/4/2024 6:48pm
CBS 25736,Willie Nelson,Without A Song,,https://i.scdn.co/image/ab67616d0000b273a3145799f9653a6b9dc9c0d9,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,https://open.spotify.com/album/3qKfcDBzn9DMdpmxJyOhMx,,CBS,"LP, Album",,,14723866,Uncategorized,2020-03-17 05:06,,,,,,2/4/2024 6:26pm
1166101424,Billy Strings,Renewal,,https://i.scdn.co/image/ab67616d0000b273a75104719bfe4d99b3675457,https://open.spotify.com/artist/1ZN1c1qWEGZNX1pGeKCPpf,https://open.spotify.com/album/2as5ea7TPPkXI2OINaMjZR,,Rounder Records,"2xLP, Album",,,20464237,Uncategorized,2022-11-05 20:25,,,,,,2/4/2024 6:31pm
1166100637,Billy Strings,Home,,https://i.scdn.co/image/ab67616d0000b273a75104719bfe4d99b3675457,https://open.spotify.com/artist/1ZN1c1qWEGZNX1pGeKCPpf,https://open.spotify.com/album/2as5ea7TPPkXI2OINaMjZR,,Rounder Records,"2xLP, Album",,,14197598,Bluegrass,2019-11-26 03:19,,,,,,2/4/2024 6:48pm
"JC 35305, 35305",Willie Nelson,Stardust,,https://i.scdn.co/image/ab67616d0000b273a37843580292303fda614a8f,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,https://open.spotify.com/album/38uGoW7jS8jjJMvZA26sRq,,"Columbia, Columbia","LP, Album, San",,,626367,Uncategorized,2022-12-01 20:19,,,,,,2/4/2024 6:30pm
W 2764,The Grateful Dead,The Best Of The Grateful Dead: Skeletons From The Closet,,https://i.scdn.co/image/ab67616d0000b273aa6d9c3247dd7244683879fa,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT,https://open.spotify.com/album/3qzvxfhCWUYsJuVSOSv0AP,,Warner Bros. Records,"LP, Comp, RP, Win",,,468378,Uncategorized,2019-07-29 23:15,,,,,,2/4/2024 6:53pm
"SRZ-2-1502, 9198.508",Frank Zappa,Joe's Garage Acts II & III,,https://i.scdn.co/image/ab67616d0000b273aa7ac662f49e6ac185cba6be,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/6uJkCskko3O83SRYWQVsjS,checked,"Zappa Records, Zappa Records","2xLP, Album, Kee",,,1027095,Uncategorized,2020-03-17 02:16,,,,,Zappa,2/4/2024 6:52pm
SRZ-1-1603,Frank Zappa,Joe's Garage Act I,,https://i.scdn.co/image/ab67616d0000b273aa7ac662f49e6ac185cba6be,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/6uJkCskko3O83SRYWQVsjS,checked,Zappa Records,"LP, Album, 72,",,,1473127,Uncategorized,2020-03-17 02:15,,,,,Zappa,2/4/2024 6:51pm
CAL-2428,Elvis Presley,Elvis' Christmas Album,,https://i.scdn.co/image/ab67616d0000b273aa509be2dd24fb6c753cf292,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,https://open.spotify.com/album/6zk4RKl6JFlgLCV4Z7DQ7N,,RCA Camden,"LP, Album, Mono, Hol",,,1421937,Uncategorized,2020-03-21 23:55,,,,,,2/4/2024 6:28pm
803020161917,Shovels And Rope,O' Be Joyful,,https://i.scdn.co/image/ab67616d0000b273ab055c545719f717ebf35bcb,https://open.spotify.com/artist/1M3BVQ36cqPQix8lQNCh4K,https://open.spotify.com/album/6YEijTlqiq6aidUCEGHysk,,"Dualtone, Shrimp Records","LP, Cre + CD + Album",5,,3800080,Uncategorized,2018-10-21 19:40,,,,,,2/4/2024 6:29pm
GLS 16501,Foy Vance,Live At Bangor Abbey,,https://i.scdn.co/image/ab67616d0000b273ac8518ed02b2f69dc79fb62f,https://open.spotify.com/artist/4bUqnkrDrb4f7rqmDR9yDu,https://open.spotify.com/album/2WA4B5RorRArr8ow9MlQ3e,,Glassnote (2),2xLP,,,7007183,Uncategorized,2018-10-24 02:00,,,,,,2/4/2024 6:30pm
"V6-5045X, V6-5045",The Mothers,We're Only In It For The Money,,https://i.scdn.co/image/ab67616d0000b273ad2713812641bbc3434275a1,https://open.spotify.com/artist/3P2gYnypDVi90ZavnaAhfL,https://open.spotify.com/album/3u1f0ziKFCkqcHUQ0AldCU,,"Verve Records, Verve Records","LP, Album, Fir",,,431258,Uncategorized,2020-03-17 02:22,,,,,,2/4/2024 6:28pm
"LITA 026, JSS-5",Betty Davis,Betty Davis,,https://i.scdn.co/image/ab67616d0000b273ae5a36b32a0ee7283424af80,https://open.spotify.com/artist/5Ryxgm3uLvQOsw4H5ZpHDn,https://open.spotify.com/album/6fNx8ioP99WoRiLidrqrmz,,"Light In The Attic, Just Sunshine Records","LP, Album, Club, RE, RM, RP, Sil",,,10549758,Uncategorized,2018-10-21 21:17,,,,,,2/4/2024 6:29pm
SH-3768,Blue Rose,Blue Rose,,https://i.scdn.co/image/ab67616d0000b273b1ccafd4c32a256fdadd4e87,"https://open.spotify.com/artist/3Kq1Y1DLYCLgARBE3UnJJR,https://open.spotify.com/artist/6ayMFFvngzfGW3kml4raae",https://open.spotify.com/album/59uZ8adAVMdWv7ZWWHoBPG,,Sugar Hill Records (2),LP,,,3043623,Bluegrass,2018-10-21 21:24,,,,,,2/4/2024 6:53pm
075597904536,Molly Tuttle & Golden Highway,City of Gold,,https://i.scdn.co/image/ab67616d0000b273b3d33e0b6ebaedd225889845,"https://open.spotify.com/artist/4LX0KCPnH7gvxEbVXqXmAE,https://open.spotify.com/artist/1KVw3QwEmC8QMrpz0SV05n",https://open.spotify.com/album/3LAherx4Gg7LCOWQo25lBK,,Nonesuch,"LP, Album, Ltd, Gol",,,27822093,Uncategorized,2024-02-03 10:18,,,,,,2/4/2024 6:52pm
SC295,Damien Jurado,Brothers And Sisters Of The Eternal Son,,https://i.scdn.co/image/ab67616d0000b273b4c5a76ee45bc69ba5289539,https://open.spotify.com/artist/79JJCxCCfJ8HufX6w8q2k4,https://open.spotify.com/album/1RRHi23DOwVOwimc3BjnBv,,Secretly Canadian,"LP, Album",,,5311255,Uncategorized,2018-10-23 04:10,,,,,,2/4/2024 6:56pm
"PAX-AM 041, 1790021737",Ryan Adams,Vampires,,https://i.scdn.co/image/ab67616d0000b273b5a09b9adffb2167b7005845,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/5jdyCnPWwkzCLcDUQ3L0NJ,checked,"Pax Americana Record Company, Pax Americana Record Company","7"", Red",,,6227004,Uncategorized,2020-03-17 05:24,,,,,Ryan Adams,2/4/2024 6:48pm
none,Leif Vollebekk,North Americana,,https://i.scdn.co/image/ab67616d0000b273b15b809d1c5eeaac7e451dc4,https://open.spotify.com/artist/3jzXlBF2157k4exx7idecs,https://open.spotify.com/album/4s9YcRjOOV0m22xeSGIRGl,,Outside Music,"LP, Album, 180",,,4549706,Uncategorized,2018-10-24 02:00,,,,,,2/4/2024 6:30pm
